"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4263","PROD-002 Top navigation exposes catalog categories","webkit","2026-06-05","passed","2026-06-05","Product and Search Module","product/prod-002-top-navigation-exposes-catalog-categories.spec.js","",""
"","2769","WISH-005 Computer product has compare button","chromium","2026-06-05","passed","2026-06-05","Wishlist and Compare Module","wishlist-compare/wish-005-computer-product-has-compare-button.spec.js","",""
"","4364","WISH-015 Wishlist footer link is available","webkit","2026-06-05","passed","2026-06-05","Wishlist and Compare Module","wishlist-compare/wish-015-wishlist-footer-link-is-available.spec.js","",""
"","1993","WISH-009 New products page opens","firefox","2026-06-05","passed","2026-06-05","Wishlist and Compare Module","wishlist-compare/wish-009-new-products-page-opens.spec.js","",""
"","2587","CART-003 Header shopping cart link is visible","chromium","2026-06-05","passed","2026-06-05","Cart Module","cart/cart-003-header-shopping-cart-link-is-visible.spec.js","",""
"","2991","USER-003 Addresses page requires login for guest","webkit","2026-06-05","passed","2026-06-05","User Profile and Account Module","user-profile/user-003-addresses-page-requires-login-for-guest.spec.js","",""
"","2130","Add on - PAY-012 Gift card product shows fixed price","chromium","2026-06-05","passed","2026-06-05","Add on - Checkout and Payment Module","add-on-checkout-payment/add-on-pay-012-gift-card-product-shows-fixed-price.spec.js","",""
"","2761","CART-013 Cart page shows information footer links","webkit","2026-06-05","passed","2026-06-05","Cart Module","cart/cart-013-cart-page-shows-information-footer-links.spec.js","",""
"","2484","CART-007 Computer product has add to cart controls","firefox","2026-06-05","passed","2026-06-05","Cart Module","cart/cart-007-computer-product-has-add-to-cart-controls.spec.js","",""
"","1949","AUTH-010 Register page shows personal detail fields","chromium","2026-06-05","passed","2026-06-05","Authentication Module","authentication/auth-010-register-page-shows-personal-detail-fields.spec.js","",""
"","3200","WISH-006 Laptop product has compare button","webkit","2026-06-05","passed","2026-06-05","Wishlist and Compare Module","wishlist-compare/wish-006-laptop-product-has-compare-button.spec.js","",""
"","2554","PROD-011 Laptop product details are visible","firefox","2026-06-05","passed","2026-06-05","Product and Search Module","product/prod-011-laptop-product-details-are-visible.spec.js","",""
"","4613","WISH-014 Compare products footer link is available","webkit","2026-06-05","passed","2026-06-05","Wishlist and Compare Module","wishlist-compare/wish-014-compare-products-footer-link-is-available.spec.js","",""
"","2353","PROD-010 Build your own computer product details are visible","firefox","2026-06-05","passed","2026-06-05","Product and Search Module","product/prod-010-build-your-own-computer-product-details-are-visible.spec.js","",""
"","2697","ADDR-012 Footer has shipping returns link","chromium","2026-06-05","passed","2026-06-05","Address and Shipping Module","address-shipping/addr-012-footer-has-shipping-returns-link.spec.js","",""
"","2707","ADDR-007 Laptop product shows in stock availability","chromium","2026-06-05","passed","2026-06-05","Address and Shipping Module","address-shipping/addr-007-laptop-product-shows-in-stock-availability.spec.js","",""
"","3957","CART-007 Computer product has add to cart controls","webkit","2026-06-05","passed","2026-06-05","Cart Module","cart/cart-007-computer-product-has-add-to-cart-controls.spec.js","",""
"","2046","USER-003 Addresses page requires login for guest","firefox","2026-06-05","passed","2026-06-05","User Profile and Account Module","user-profile/user-003-addresses-page-requires-login-for-guest.spec.js","",""
"","2807","USER-008 Register page shows account creation form","webkit","2026-06-05","passed","2026-06-05","User Profile and Account Module","user-profile/user-008-register-page-shows-account-creation-form.spec.js","",""
"","3783","ADDR-005 Science product displays free shipping","webkit","2026-06-05","passed","2026-06-05","Address and Shipping Module","address-shipping/addr-005-science-product-displays-free-shipping.spec.js","",""
"","4326","PROD-001 Home page shows welcome content and featured products","webkit","2026-06-05","passed","2026-06-05","Product and Search Module","product/prod-001-home-page-shows-welcome-content-and-featured-products.spec.js","",""
"","2760","ADDR-010 Shopping cart shows address step","webkit","2026-06-05","passed","2026-06-05","Address and Shipping Module","address-shipping/addr-010-shopping-cart-shows-address-step.spec.js","",""
"","2800","AUTH-005 Login page shows registration option for new customer","webkit","2026-06-05","passed","2026-06-05","Authentication Module","authentication/auth-005-login-page-shows-registration-option-for-new-customer.spec.js","",""
"","2101","AUTH-014 Protected orders page redirects guest user to login","firefox","2026-06-05","passed","2026-06-05","Authentication Module","authentication/auth-014-protected-orders-page-redirects-guest-user-to-login.spec.js","",""
"","4468","AUTH-015 Header exposes login and register links","webkit","2026-06-05","passed","2026-06-05","Authentication Module","authentication/auth-015-header-exposes-login-and-register-links.spec.js","",""
"","2715","AUTH-015 Header exposes login and register links","chromium","2026-06-05","passed","2026-06-05","Authentication Module","authentication/auth-015-header-exposes-login-and-register-links.spec.js","",""
"","4292","USER-007 Footer exposes addresses link","webkit","2026-06-05","passed","2026-06-05","User Profile and Account Module","user-profile/user-007-footer-exposes-addresses-link.spec.js","",""
"","2287","USER-015 Sitemap includes account links","firefox","2026-06-05","passed","2026-06-05","User Profile and Account Module","user-profile/user-015-sitemap-includes-account-links.spec.js","",""
"","1980","USER-014 Password recovery page supports account recovery","chromium","2026-06-05","passed","2026-06-05","User Profile and Account Module","user-profile/user-014-password-recovery-page-supports-account-recovery.spec.js","",""
"","2006","USER-009 Register page shows personal details fields","chromium","2026-06-05","passed","2026-06-05","User Profile and Account Module","user-profile/user-009-register-page-shows-personal-details-fields.spec.js","",""
"","3215","PROD-005 Electronics category shows subcategories","webkit","2026-06-05","passed","2026-06-05","Product and Search Module","product/prod-005-electronics-category-shows-subcategories.spec.js","",""
"","1970","USER-010 Register page shows email field","chromium","2026-06-05","passed","2026-06-05","User Profile and Account Module","user-profile/user-010-register-page-shows-email-field.spec.js","",""
"","3695","CART-008 Gift card product has add to cart controls","webkit","2026-06-05","passed","2026-06-05","Cart Module","cart/cart-008-gift-card-product-has-add-to-cart-controls.spec.js","",""
"","1876","Add on - INFO-001 Contact us page opens","firefox","2026-06-05","passed","2026-06-05","Add on - Customer Support and Information Module","add-on-customer-support/add-on-info-001-contact-us-page-opens.spec.js","",""
"","2257","PROD-003 Books category shows product cards","chromium","2026-06-05","passed","2026-06-05","Product and Search Module","product/prod-003-books-category-shows-product-cards.spec.js","",""
"","2013","USER-002 Order history page requires login for guest","firefox","2026-06-05","passed","2026-06-05","User Profile and Account Module","user-profile/user-002-order-history-page-requires-login-for-guest.spec.js","",""
"","1952","Add on - PAY-002 Empty cart blocks checkout with empty cart message","chromium","2026-06-05","passed","2026-06-05","Add on - Checkout and Payment Module","add-on-checkout-payment/add-on-pay-002-empty-cart-blocks-checkout-with-empty-cart-message.spec.js","",""
"","1837","WISH-005 Computer product has compare button","firefox","2026-06-05","passed","2026-06-05","Wishlist and Compare Module","wishlist-compare/wish-005-computer-product-has-compare-button.spec.js","",""
"","2011","AUTH-012 Register button is available","chromium","2026-06-05","passed","2026-06-05","Authentication Module","authentication/auth-012-register-button-is-available.spec.js","",""
